NIL,Population,Pricexm2,Pricexm2a,
DUOMO,16765,4950,36,8
BRERA,18492,6250,38,
GIARDINI P.TA VENEZIA,16191,4750,32,
GUASTALLA,15364,5050,33,8
PORTA VIGENTINA - PORTA LODOVICA,13686,3300,24,4
PORTA TICINESE - CONCA DEL NAVIGLIO,20008,4000,25,6
MAGENTA - S. VITTORE,17962,6050,26,8
PARCO SEMPIONE,16191,3900,23,9
PORTA GARIBALDI - PORTA NUOVA,5863,4150,27,
STAZIONE CENTRALE - PONTE SEVESO,18831,3200,22,6
ISOLA,22859,3200,24,6
MACIACHINI - MAGGIOLINA,25985,2050,14,
GRECO - SEGNANO,16032,2150,11,2
NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,36181,1350,10,
BICOCCA,8583,1950,13,
GORLA - PRECOTTO,29523,1950,13,
ADRIANO,17685,1650,12,
CIMIANO - ROTTOLE - Q.RE FELTRE,19596,1650,12,
PADOVA - TURRO - CRESCENZAGO,37408,2200,12,9
LORETO - CASORETTO - NOLO,44572,2800,19,1
BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,62347,4750,32,
CITTA' STUDI,36376,1900,17,6
LAMBRATE - ORTICA,11819,1600,12,
PARCO FORLANINI - CAVRIANO,2424,1600,12,
CORSICA,19658,3300,22,
XXII MARZO,31720,4100,26,7
PTA ROMANA,16739,3100,24,7
UMBRIA - MOLISE - CALVAIRATE,22982,2650,17,1
ORTOMERCATO,4183,1700,,
TALIEDO - MORSENCHIO - Q.RE FORLANINI,19267,1600,12,
MONLUE' - PONTE LAMBRO,5213,1750,,
TRIULZO SUPERIORE,1687,1900,12,5
ROGOREDO - SANTA GIULIA,10847,2000,,
CHIARAVALLE,1036,1450,,
LODI - CORVETTO,36129,1900,12,5
SCALO ROMANA,12426,3100,24,7
MORIVIONE,7786,1850,,
VIGENTINO - Q.RE FATIMA,15111,1750,,
QUINTOSOLE,958,1450,,
RONCHETTO DELLE RANE,731,1250,,
GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,18598,1350,,
STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,29683,1700,,
TIBALDI,11572,2000,,
PORTA TICINESE - CONCHETTA,17030,4000,25,6
MONCUCCO - SAN CRISTOFORO,13793,3900,22,
BARONA,16616,2750,,
CANTALUPA,551,1500,,
RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO,14563,2750,,
GIAMBELLINO,31176,2000,,
PORTA GENOVA,15228,4550,23,6
PORTA MAGENTA,27088,4550,23,6
BANDE NERE,44222,2150,,
LORENTEGGIO,14318,1750,,
MUGGIANO,3088,1600,,
BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,29916,1600,,
FORZE ARMATE,24871,1700,,
SAN SIRO,26586,2350,,
DE ANGELI - MONTE ROSA,21394,3500,,
TRE TORRI,2322,1500,,
STADIO - IPPODROMI,13080,2350,,
QUARTO CAGNINO,9854,1250,,
QUINTO ROMANO,4736,1250,,
FIGINO,2405,2000,,
TRENNO,4043,2000,,
Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,32544,1850,,
QT 8,4098,1850,,
PORTELLO,8863,4200,,
PAGANO,17883,4300,,
SARPI,30985,3850,,
GHISOLFA,18122,2750,,
VILLAPIZZONE - CAGNOLA - BOLDINASCO,41405,1850,,
MAGGIORE - MUSOCCO - CERTOSA,7178,3900,23,9
CASCINA MERLATA,933,2000,,
ROSERIO,250,2000,,
STEPHENSON,123,1750,,
QUARTO OGGIARO - VIALBA - MUSOCCO,30729,1600,,
BOVISA,13955,2000,,
FARINI,3807,2000,,
DERGANO,23546,2000,15,7
AFFORI,25305,2000,,
BOVISASCA,7273,1450,,
COMASINA,9495,1800,,
BRUZZANO,12627,1450,,
PARCO NORD,104,1800,14,4
PARCO DELLE ABBAZIE,440,1450,,
PARCO DEI NAVIGLI,318,2000,,
ASSIANO,271,1250,,
PARCO BOSCO IN CITTA',645,2800,,
